"","data_name","xmin","xmax","ymin","ymax"
"1","Bathymetry_Contours",-179.977296471506,179.984897867927,-17.5414207998875,74.6804396193439
"2","Coastal_Populated_Place",-176.658039705703,145.785482256849,-14.3809978339324,71.2905559353096
"3","Federal_and_State_Waters",-179.999999999677,179.999999999931,-17.5550068257144,74.7088405733936
"4","Coastal_States",-179.231086000579,179.859680999982,-14.6018130003553,71.4397860001249
"5","Coastal_Counties",-179.231086000579,179.859680999982,-14.6018130003553,71.4397860001249
"6","Federal_Statute_2023_06_26",-180.000000000045,179.9999999998,-17.5550068264793,74.7088405733936
"7","Indian_Land",-131.666946804258,-67.036125459596,25.741516095331,55.2939752045696
"8","Aliquots_Atlantic",-82.9998441195676,-66.9108424364837,23.8179234000095,44.7690226586347
"9","BOEM_Wind_Planning_Area_Outlines_8_30_2023",-158.663606440343,-67.2803570128763,20.7765099146388,44.2480259741788
"10","BOEM_Wind_Planning_Areas_10_06_2023",-158.663606440343,-67.2803570128763,20.7765099146388,44.2480259741788
"11","BOEM_Wind_Leases_9_27_2023",-124.811546860946,-70.0215489997178,29.0281089996578,41.5558736236968
"12","BOEM_Wind_Lease_Outlines_9_27_2023",-124.811546860946,-70.0215489997178,29.0281089996578,41.5558736236968
"13","Offshore_Oil_Gas_Resource_Potential",-179.468792850444,-65.7318987666771,23.8179192486459,73.6801469173476
"14","Coastal_Energy_Facilities",-171.712439000798,171.448819000285,18.9742000002602,71.2920000000193
"15","Substations",-124.611367874575,-64.9256366178831,17.9473913885493,48.9795027590368
"16","ATL_Sand_Aliquots_2023_10_09",-81.3993434121287,-69.7141596968743,25.6568096200907,43.663972046449
"17","Lease_Areas_2023_10_09",-93.6098779670789,-74.0459237002426,25.6804811526575,39.6881663998317
"18","Beach_Nourishment",-165.431283901077,-69.9326128154594,20.907665675631,64.4977011950627
"19","Surficial_Sediment_Classification",-179.982315403736,179.935270967255,-14.3735205513964,73.0634625941596
"20","Ocean_Disposal_Site",-170.6641021654,145.730256575079,-14.4251173304442,64.5003423985963
"21","Coastal_Critical_Habitat_Designations",-179.999996246312,179.994597043152,13.6397040473201,70.3333644331835
"22","EFH_HMS",-129.16364033038,-63.8722828182421,14.9247369867118,48.3937656026032
"23","CetMap_BIA_WGS84",-179.726937755781,-66.1924914199238,18.5915062054846,72.2650567525415
"24","Audobon_Important_Bird_Areas",-179.999996337478,179.990343351242,19.0177803236669,71.8100687106651
"25","Protected_Area",-170.847187486311,145.868491128495,-14.5597462771381,59.2217819544058
"26","Artificial_Reef",-158.19941894181,-66.0827350000921,17.9524849999359,42.3440133253565
"27","Deepsea_Coral_Observations",-179.993564545631,179.994015319917,-14.5568469846495,71.5918316309137
"28","Deepsea_Stony_Coral_Habitat_Suitability",-96.7770549524486,-64.9959781611659,23.6113390116726,43.8835931442253
"29","Deepsea_Soft_Coral_Habitat_Suitability",-96.7237812700303,-64.9959781636588,23.5808268459772,44.6418437470837
"30","Historic_Lighthouses",-164.927653888441,-64.619075555705,17.7550980557824,60.5375150008641
"31","Coastal_Barrier_Resource_System",-97.6388311874994,-64.6232006914289,17.6618533204488,47.4356146539515
"32","Coastal_States_2",-179.148909000356,179.778469999538,-14.3742069997792,71.3651620001107
"33","Census_Statistics_State",-179.148893732913,179.778485255178,-14.3742145220686,71.3651622605802
"34","Census_Statistics_County",-179.14889373309,179.778485255178,-14.3742145237614,71.3651622605802
"35","NA_Right_Whale_SMA",-81.4604492192396,-67.1399999994945,29.7499943536251,42.5000000004469
"36","Pilot_Boarding_Areas",-123.400565801539,-64.9183059929031,18.2884616194557,48.1692609725428
"37","Pilot_Boarding_Stations",-178.066651097069,177.60834812128,13.4478172938362,71.3333336564115
"38","Principal_Port",-168.93818228841,-66.1666717002778,18.0012572331459,67.7191813807948
"39","Unexploded_Ordnance_Area",-177.19922357142,177.69327038403,13.0949599471099,59.1656466581956
"40","Unexploded_Ordnance_Location",-166.573812099176,174.155419663853,13.4691595337086,71.3830037007898
"41","Unexploded_Ordnance_FUDS",-178.141139717825,179.488251920508,-14.2752517138681,64.4002902034646
"42","NOAA_Charted_Submarine_Cables",-179.999999174791,179.990468860709,4.99999438022003,61.1942778837843
"43","Wastewater_Facility",-176.62921185057,174.088226899482,-14.3400559999856,71.3238510001451
"44","Wastewater_Outfall",-176.62767887619,174.08558496271,-14.3483329999212,71.3229993233605
"45","Wastewater_Outfall_Pipe",-176.627867004519,145.734928375896,-14.2786950962417,70.5146471958296
"46","Lightering_Zone",-171.183645698748,-68.8342017932351,21.2645833332898,71.3473292167159
